u,v,p
1.0,1.0,1.0
1.0665109644761728,5.893395277292299,1.9505834189258795
1.1424047785524045,5.817973865144497,2.8795270544569904
1.2685468731052858,13.588984624656874,3.7575997640701564
1.4322926995511178,18.002915551489505,4.727173972980596
1.6194121142203899,50.52916574060251,5.500793524822879
1.8349398069302576,109.7562840958618,7.439010152064351
2.069201850560916,304.8460830384159,10.514560437198774
2.5461539128812087,789.4001374222664,24.99879048330768
3.9164995529544986,2138.742750581335,60.62219001315923
8.819217011767247,5670.768669453024,163.32757040261507
23.388011274331383,15879.0328333593,441.37777993155464
63.908730346765246,42570.26243840224,1175.613306330612
181.96648326770702,123340.012092168,3275.864053130687
498.3026622617568,325112.07679774374,8693.28072339585
1376.7069397261357,923143.1224599971,23785.958029965732
3580.1352176046453,2242543.692627129,62423.25693143742
9707.744805470553,6399119.669703185,167226.78222600056
26952.57798911106,17853849.071154185,441500.3870399349
69671.68489756109,46831086.07388433,1171111.1613486477
185440.4833353246,124375956.8252787,3075811.5245039077
489872.227675798,328996175.45138294,8230177.4764429275
1330433.786838118,896395859.5129232,21859116.495490156
3460642.069221557,2323300495.950576,57904811.65939254
9312382.690276096,6267658426.801566,152962967.858428
24134585.121536657,16213822927.49693,404334269.90811783
65333234.16058981,43696071269.52053,1066640471.4099166
172452267.08035237,115588756115.14772,2772005594.8398
279159721.3126577,206704683931.5299,6346101153.193828
761935548.1370771,536902759864.94214,16527596651.36134
1909769942.707747,1379641181698.3433,42424064584.45598
4985100371.21453,3562279079853.743,109525217982.63701
12811816725.716934,9187976449685.613,282476215713.5135
33124518592.502186,23709419849545.668,728907329004.9304
85435256597.90971,61175264470494.55,1880693798705.789
220532402221.62976,157853114553731.75,4852808209614.992
569041296359.5309,407309828132034.0,12521653589117.332
1468434402023.762,1050990526695649.5,32309823398160.61
3789104721402.453,2711887396994953.5,83369344044133.45
9777333577471.426,6997525764725134.0,215119002088677.44
25228877829974.39,1.8055812763404084e+16,555074067167190.56
65098983688622.01,4.658965010445937e+16,1432264258748309.0
167976551984232.3,1.2021585180528459e+17,3695688037543752.5
433433387079469.25,3.101944018143144e+17,9536026450409320.0
1118395545797319.0,8.003982429825907e+17,2.4605917610981296e+16
2885812806575560.0,2.0652768017109087e+18,6.3490928207966216e+16
7446301970229087.0,5.329057278964057e+18,1.6382635853427686e+17
1.9213787797315624e+16,1.3750626870577783e+19,4.22722997734246e+17
4.95775705567518e+16,3.5480897688013935e+19,1.0907569028019318e+18
1.2792559168627899e+17,9.155175970618687e+19,2.814492285807045e+18
3.3008788856957536e+17,2.3623203457461345e+20,7.262266031772612e+18
8.517295623437586e+17,6.095521714290674e+20,1.8738906514452443e+19
2.1977274750518234e+18,1.5728343084869217e+21,4.835221065243816e+19
5.670821068608869e+18,4.0584020105044474e+21,1.247637513793792e+20
1.4632483553186476e+19,1.0471940225321696e+22,3.219293066858961e+20
3.775636197900828e+19,2.702086479677935e+22,8.306777997020825e+20
9.742316513788656e+19,6.972224042403021e+22,2.1434072403029102e+21
2.513820869544737e+20,1.7990507873086306e+23,5.530657733986211e+21
6.48644020147998e+20,4.642110917806402e+23,1.4270818159836153e+22
1.6737034421452037e+21,1.1978090848453205e+24,3.68231520986965e+22
4.3186757643374884e+21,3.0907202112699575e+24,9.501519221041246e+22
1.1143527506762128e+22,7.975020013540466e+24,2.4516876573942892e+23
2.875376898378137e+22,2.057803355450481e+25,6.326117149839268e+23
7.419367252025165e+22,5.309773069486356e+25,1.632335100787194e+24
1.9144276509364325e+23,1.3700866982529187e+26,4.2119325617018664e+24
4.939819132519343e+23,3.535250068422289e+26,1.0868096811580388e+25
1.2746270692637597e+24,9.122045387478713e+26,2.8043072051952422e+25
3.2889345177268424e+24,2.3537715986300933e+27,7.2359853224033125e+25
8.48647461082883e+24,6.073463245552799e+27,1.8671094054537635e+26
2.189774558621314e+25,1.5671425305889668e+28,4.817723332218325e+26
5.650299844659536e+25,4.043715441890747e+28,1.2431225528617107e+27
1.4579532038408231e+26,1.043404429132313e+29,3.207643060569318e+27
3.761972997925191e+26,2.6923081467466205e+29,8.276717352068361e+27
9.70706110442297e+26,6.946992896192063e+29,2.135650657896736e+28
2.50472385997376e+27,1.7925403657103e+30,5.510643336678506e+28
6.462967057923154e+27,4.625312002927173e+30,1.4219174784880596e+29
1.6676466359928589e+28,1.1934744418402227e+31,3.66898961174374e+29
4.303047311880279e+28,3.0795354830644435e+31,9.467135030506254e+29
1.1103201222991283e+29,7.946159933538392e+31,2.4428154661152646e+30
2.8649714600589863e+29,2.050356556584906e+32,6.303224135140309e+30
7.392517979368763e+29,5.2905580107782865e+32,1.6264279905267535e+31
1.90749970242844e+30,1.3651286150946676e+33,4.196690378851664e+31
4.921942868341914e+30,3.5224566708344887e+33,1.0828767236256202e+32
1.2700144366145506e+31,9.089034440206168e+33,2.7941589507754453e+32
3.2770324897182106e+31,2.3452537468880466e+34,7.209799667739225e+32
8.455763674069015e+31,6.051484537193214e+34,1.8603526916214495e+33
2.1818501811024914e+32,1.5614713398275477e+35,4.8002889077615784e+33
5.629852484377845e+32,4.029082004783102e+35,1.2386239287720857e+34
1.4526771485217015e+33,1.0396285469485392e+36,3.196035210393628e+34
3.7483591331973237e+33,2.6825651956133735e+36,8.246765486116646e+34
9.671933096573982e+33,6.921853050147558e+36,2.1279221443442306e+35
2.495659740714566e+34,1.7860535030494147e+37,5.490701366509675e+35
6.439578809358903e+34,4.608573878474755e+37,1.4167718295671927e+36
1.6616117399910814e+35,1.1891554848215672e+38,3.655712236142126e+36
4.287475402061361e+35,3.068391229846621e+38,9.432875269380449e+36
1.1063020849491527e+36,7.917404292015173e+38,2.433975381541217e+37
2.854603673234848e+36,2.0429367061629132e+39,6.280413965802198e+37
7.365765862784592e+36,5.271412487545832e+39,1.6205422569585406e+38
1.9005968237924037e+37,1.3601884742697552e+40,4.181503354536981e+38
4.904131293204279e+37,3.5097095700769687e+40,1.0789579987145845e+39
1.2654184959120213e+38,9.056142953205854e+40,2.7840474209522385e+39
3.2651735323953553e+38,2.3367667196206623e+41,7.183708773969757e+39
8.425163873530417e+38,6.029585365581836e+41,1.8536204290499894e+40
