"p^n-2_i,j","p^n-2_i-1,j","p^n-2_i+1,j","p^n-2_i,j-1","p^n-2_i,j+1","p^n-1_i,j","p^n-1_i-1,j","p^n-1_i+1,j","p^n-1_i,j-1","p^n-1_i,j+1","p^n_i,j","p^n_i-1,j","p^n_i+1,j","p^n_i,j-1","p^n_i,j+1","p^n+1_i,j","p^n+1_i-1,j","p^n+1_i+1,j","p^n+1_i,j-1","p^n+1_i,j+1"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.03844e-02,2.00569e-02,3.68685e-04,7.02367e-03,1.15629e-02,1.88656e-02,3.18286e-02,5.40466e-03,4.96505e-02,2.69619e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.15629e-02,2.22460e-02,4.56882e-04,1.03844e-02,1.19756e-02,2.69619e-02,4.51873e-02,6.42864e-03,1.88656e-02,3.28191e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.19756e-02,2.29997e-02,4.94853e-04,1.15629e-02,1.21200e-02,3.28191e-02,5.52426e-02,7.10110e-03,2.69619e-02,3.58916e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21200e-02,2.32594e-02,5.10474e-04,1.19756e-02,1.21705e-02,3.58916e-02,6.04168e-02,7.48105e-03,3.28191e-02,3.73125e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21705e-02,2.33490e-02,5.16707e-04,1.21200e-02,1.21882e-02,3.73125e-02,6.27381e-02,7.67520e-03,3.58916e-02,3.79262e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21882e-02,2.33799e-02,5.19140e-04,1.21705e-02,1.21944e-02,3.79262e-02,6.37082e-02,7.76776e-03,3.73125e-02,3.81800e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21944e-02,2.33906e-02,5.20073e-04,1.21882e-02,1.21966e-02,3.81800e-02,6.40963e-02,7.80967e-03,3.79262e-02,3.82813e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21966e-02,2.33942e-02,5.20424e-04,1.21944e-02,1.21973e-02,3.82813e-02,6.42463e-02,7.82781e-03,3.81800e-02,3.83192e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21973e-02,2.33955e-02,5.20550e-04,1.21966e-02,1.21975e-02,3.83192e-02,6.43009e-02,7.83506e-03,3.82813e-02,3.83288e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21975e-02,2.33958e-02,5.20581e-04,1.21973e-02,1.21973e-02,3.83288e-02,6.43145e-02,7.83698e-03,3.83192e-02,3.83192e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21973e-02,2.33955e-02,5.20550e-04,1.21975e-02,1.21966e-02,3.83192e-02,6.43009e-02,7.83506e-03,3.83288e-02,3.82813e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21966e-02,2.33942e-02,5.20424e-04,1.21973e-02,1.21944e-02,3.82813e-02,6.42463e-02,7.82781e-03,3.83192e-02,3.81800e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21944e-02,2.33906e-02,5.20073e-04,1.21966e-02,1.21882e-02,3.81800e-02,6.40963e-02,7.80967e-03,3.82813e-02,3.79262e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21882e-02,2.33799e-02,5.19140e-04,1.21944e-02,1.21705e-02,3.79262e-02,6.37082e-02,7.76776e-03,3.81800e-02,3.73125e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21705e-02,2.33490e-02,5.16707e-04,1.21882e-02,1.21200e-02,3.73125e-02,6.27381e-02,7.67520e-03,3.79262e-02,3.58916e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21200e-02,2.32594e-02,5.10474e-04,1.21705e-02,1.19756e-02,3.58916e-02,6.04168e-02,7.48105e-03,3.73125e-02,3.28191e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.19756e-02,2.29997e-02,4.94853e-04,1.21200e-02,1.15629e-02,3.28191e-02,5.52426e-02,7.10110e-03,3.58916e-02,2.69619e-02
