"v^n-2_i,j","v^n-2_i-1,j","v^n-2_i+1,j","v^n-2_i,j-1","v^n-2_i,j+1","v^n-1_i,j","v^n-1_i-1,j","v^n-1_i+1,j","v^n-1_i,j-1","v^n-1_i,j+1","v^n_i,j","v^n_i-1,j","v^n_i+1,j","v^n_i,j-1","v^n_i,j+1","v^n+1_i,j","v^n+1_i-1,j","v^n+1_i+1,j","v^n+1_i,j-1","v^n+1_i,j+1"
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-4.76618e-03,-8.97228e-03,-2.92408e-04,-7.05754e-03,-1.67071e-03,2.05224e-02,1.00765e-01,-1.47702e-03,6.17898e-02,-1.65847e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.67071e-03,-3.09001e-03,-1.32476e-04,-4.76618e-03,-5.84953e-04,-1.65847e-02,-2.76269e-02,-1.98697e-03,2.05224e-02,-1.03156e-02
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-5.84953e-04,-1.06409e-03,-5.62721e-05,-1.67071e-03,-2.04733e-04,-1.03156e-02,-1.74305e-02,-1.22097e-03,-1.65847e-02,-5.13536e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.04733e-04,-3.66697e-04,-2.29473e-05,-5.84953e-04,-7.16492e-05,-5.13536e-03,-8.48968e-03,-6.61228e-04,-1.03156e-02,-2.31215e-03
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-7.16492e-05,-1.26485e-04,-9.09858e-06,-2.04733e-04,-2.50702e-05,-2.31215e-03,-3.70845e-03,-3.28471e-04,-5.13536e-03,-9.82360e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.50702e-05,-4.36635e-05,-3.53381e-06,-7.16492e-05,-8.75968e-06,-9.82360e-04,-1.52539e-03,-1.53449e-04,-2.31215e-03,-4.01059e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-8.75968e-06,-1.50665e-05,-1.34884e-06,-2.50702e-05,-3.02516e-06,-4.01059e-04,-6.03032e-04,-6.83220e-05,-9.82360e-04,-1.56954e-04
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-3.02516e-06,-5.14494e-06,-5.01510e-07,-8.75968e-06,-9.43167e-07,-1.56954e-04,-2.29015e-04,-2.88273e-05,-4.01059e-04,-5.35256e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-9.43167e-07,-1.58996e-06,-1.65107e-07,-3.02516e-06,5.36056e-15,-5.35256e-05,-7.62741e-05,-1.03955e-05,-1.56954e-04,4.60928e-14
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.36056e-15,1.15481e-15,4.48079e-16,-9.43167e-07,9.43167e-07,4.60928e-14,1.48453e-14,8.72571e-15,-5.35256e-05,5.35256e-05
0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,9.43167e-07,1.58996e-06,1.65107e-07,5.36056e-15,3.02516e-06,5.35256e-05,7.62741e-05,1.03955e-05,4.60928e-14,1.56954e-04
